Q36_What materials are you using?,Q37_How often do you use these materials?,Q38_Do you find these materials more or less helpful than radio lessons?,Q39_Why
Textbooks,A few times a week,Less,Is because to advice about our school.
Textbooks,A few times a week,Less,Because to hear the sound of the teacher in the radio that better the reading textbook.
Other (specify),Other (specify),Less,I have no time for reading.
Textbooks Practice book from school,A few times a week,Less,I don't spent much time on radio lessons.
Practice book from school,A few times a week,Less,I do understand alone by myself.
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a month,More,Because there are many details in text book than radio
Textbooks Practice book from school,A few times a week,More,Because are many details in text book than radio
,,,
,,,
,,,
Textbooks Practice book from school,A few times a month,More,Text book is good than radio
Textbooks Practice book from school,A few times a month,More,Text book is good than the radio
Textbooks Practice book from school,A few times a month,More,Text books contain details
,,,
Textbooks Practice book from school,A few times a month,More,Text books are good for reading than radio 
,,,
,,,
,,,
Practice book from school,A few times a month,More,I don't have enough time for radio lessons.
,,,
Textbooks,A few times a week,More,Because it is easy to understand
Textbooks,A few times a week,More,Because of the interactions
Textbooks,A few times a week,More,Am so attached to the materials
Textbooks,A few times a week,More,Because of the support am getting 
Textbooks,A few times a week,More,Because of guide from my parents
Textbooks,A few times a week,Less,No guides 
Textbooks,A few times a week,More,It is well summarized
,,,
Textbooks Study packets,A few times a week,More,Because of the support am getting from my elder brothers at home
Textbooks Practice book from school,Daily,More,Because radio lessons are not visible
,,,
,,,
,,,
Textbooks,A few times a week,Less,Because it is difficult for me to attend radio lessons all the time. 
Other (specify),A few times a week,Less,Because it is better to be in class 
Textbooks Other (specify),Daily,More,Because they are better than nothing 
,,,
,,,
Study packets,A few times a week,Less,Because of  there is no enough  school materials
Study packets,A few times a week,More,Because  l  take  more  time  to study the previous lessons
Textbooks Study packets,A few times a month,Less,Because there are not enough
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,Less,No help.
,,,
,,,
,,,
,,,
Practice book from school Textbooks,A few times a week,More,Because he enjoys studying alone better than with other people unless there is some difficult words which needs attention of the teacher.
,,,
Textbooks,A few times a week,More,The teacher can explain the lesson on the radio and even you can know the question.
Other (specify),Other (specify),Less,There is no school .
Other (specify),Other (specify),Less,It is better to listen to radio then reading.
Other (specify),Other (specify),Less,Because I always read English book 
Other (specify),Other (specify),Less,Is there is no school and our textbook were taken back during covid-19.
Textbooks,A few times a month,Less,It is what I  have .
,,,
Textbooks,A few times a week,More,Reading alone is better then listening to the radio.
,,,
Study packets,Daily,Less,Because they are not like textbook
Other (specify),Other (specify),Less,There is textbook.
,,,
,,,
,,,
,,,
,,,
Other (specify),Other (specify),Less,No textbook for reading at home .
,,,
Textbooks Practice book from school,A few times a week,More,Because I get the information from the book directly
Textbooks,A few times a week,More,It can remain you how to read and write 
,,,
,,,
,,,
,,,
Other (specify),Other (specify),Less,I don't have any material for for reading.
Textbooks,A few times a week,Less,No guidance
Practice book from school,A few times a week,More,Because of practical part
Practice book from school,Other (specify),More,Because of practical part
Practice book from school Textbooks,A few times a week,More,"On the radio the lesson may be hard, with books one can understand much "
,,,
Textbooks Practice book from school,A few times a week,More,Because I used to do it practically
Textbooks Practice book from school,A few times a week,More,Because am doing it practically
Textbooks,A few times a week,More,It is more practically
,,,
,,,
,,,
Study packets,A few times a week,More,Because the explaination on the radio is not understood well for the slow learners
Practice book from school,A few times a week,More,Because l don't have radio at some
Study packets,Daily,More,It is more helpful to discuss rather than listening to the radio
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,More,Radio learning sometimes too fast to cope up with.
Other (specify),Daily,More,I understand more from reading
Practice book from school,A few times a week,More,Easy to understand than radio
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,Some time when you are reading g the book you don't understanding something but through radio you heard teacher explaining everything in the lesson.
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,Less,I don't have any radio at home
,,,
Practice book from school,A few times a week,More,Easier to get the formula
Practice book from school,A few times a week,More,Easily understood
Practice book from school,A few times a week,More,Because practice makes perfect.
Practice book from school,A few times a month,Less,No one can help me.
,,,
Practice book from school,A few times a week,More,"My parents are helping me.
"
,,,
,,,
Practice book from school,A few times a week,Less,Because it's very interested
Practice book from school,A few times a month,Less,No access to get the materials
,,,
Textbooks Practice book from school,A few times a week,Less,Not interested
Practice book from school,A few times a week,More,Because it was afull package given by the teachers
,,,
Textbooks Practice book from school,A few times a week,More,Improve the quality of learning
,,,
,,,
Textbooks,A few times a week,Less,Don't understand fully
,,,
Textbooks Practice book from school,A few times a week,Less,I din't understand well
,,,
Textbooks,A few times a week,More,Read and understand
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,Because I don't listen to the radio easily
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,Less,Because books are available
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,Less,Luck of accessibility
,,,
,,,
Textbooks,A few times a week,Less,Just busy at home
,,,
,,,
Other (specify),Daily,Less,Just like that
Practice book from school,Daily,More,Because I like reading more than listening
Textbooks,Daily,More,Because my father use to help me
Other (specify),Daily,About the same,I don't listen to radio at all
Textbooks,Daily,More,I read it by myself
Other (specify),Daily,About the same,I have nothing
Other (specify),A few times a week,About the same,I don't know
Other (specify),Daily,About the same,"No, different"
Other (specify),A few times a week,Less,Listening to radio is much better than to study alone 
Other (specify) Practice book from school,Daily,Less,Don't provide more education 
Textbooks,Daily,More,Can go back to read and radio it can't 
,,,
,,,
,,,
,,,
,,,
,,,
Study packets Textbooks,A few times a week,About the same,Because both of these materials help me gain new knowledge. 
,,,
Textbooks Study packets Practice book from school,A few times a week,More,Because I don't have a radio to listen to the lessons 
Study packets,Daily,Less,Because they are not sufficient 
Study packets,A few times a week,More,Because I can't access radio 
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,They are easily get
,,,
,,,
Textbooks,A few times a week,More,I have them at home
Textbooks,A few times a week,More,They are easy to get
Textbooks,A few times a week,More,They are always found at home
,,,
Other (specify),Daily,More,Because they are better than nothing 
,,,
Textbooks,A few times a week,More,Because they have all the information.
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,Because they have all information needed
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,They are detailed
Textbooks,A few times a week,More,Because for radio you can miss some of the things
Textbooks,A few times a week,More,"Because if I don't understand on radio I can read for my self.
"
,,,
,,,
Textbooks,A few times a week,More,They are detailed
Textbooks,A few times a week,More,Can read at your own time and understand where you did not.
Textbooks,A few times a week,More,They are detailed
Textbooks,A few times a week,More,They are detailed
Textbooks,A few times a week,More,"They have more information
"
Textbooks,A few times a week,More,They have more detail
Textbooks,A few times a week,More,I have them with me at home
Textbooks,A few times a week,More,I get them at home
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Other (specify),Other (specify),Less,Based on the interest
,,,
,,,
,,,
,,,
Other (specify),Daily,Less,No sure
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Other (specify),A few times a week,Less,To help parents as part of my duty at home
Other (specify),A few times a week,More,Pandemic has cause much financial hiccups hence getting a bread per day matters
Other (specify),A few times a week,More,Pandemic has cause much financial hiccups hence getting a bread per day matters
Other (specify),A few times a week,Less,Delay me from reading. No free time
Other (specify),A few times a week,More,Pandemic has cause much financial hiccups hence getting a bread per day matters
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Study packets,Daily,More,Because it difficult to learn
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,I like reading
,,,
Practice book from school,A few times a week,More,Because I revise what was taught to me in the school
Practice book from school,Daily,More,I don't understand the lessons which are taught over the radio
,,,
,,,
,,,
Practice book from school Textbooks,Daily,Less,I understand from reading more than listening
Textbooks Practice book from school,Daily,More,It gives me time till
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Other (specify),A few times a week,About the same,I don't pay attention to the lessons on the radio
,,,
,,,
Other (specify),Daily,Less,I learnt it ling time ago 
,,,
Other (specify),A few times a week,More,Because I have no access to radio
Textbooks,A few times a week,Less,No good explanation
,,,
Textbooks Other (specify),A few times a week,About the same,"Because self studies you have no one to guide you 
"
,,,
,,,
,,,
Textbooks Other (specify),A few times a week,About the same,Because I read but no teacher to teach me
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,Less,Because they don't give more explanation to myself
,,,
,,,
Other (specify),A few times a week,More,Because it recall me the previous lessons
,,,
,,,
,,,
Other (specify),Daily,More,Because of practical IDo
,,,
Other (specify),A few times a week,More,Because the reminder me of the previous lessons
Textbooks Other (specify),Daily,More,Because it help not to forget
,,,
,,,
Textbooks,Daily,Less,Sometimes I need help from the teacher
Textbooks Practice book from school,A few times a week,Less,Not available all the time needed
Textbooks,A few times a week,More,They are helpful because I always found them at home
Textbooks,A few times a week,More,I always have them at home
Textbooks,A few times a week,More,I get them on time
Textbooks,A few times a week,More,They are access easily
Textbooks,A few times a week,More,They are easily found at home
Textbooks,A few times a week,More,I get them at home
Textbooks,A few times a week,More,I have them at home
Textbooks,A few times a week,More,Easy to access
Textbooks,A few times a week,More,They are available all the times
Textbooks,A few times a week,More,We have all these in our home
,,,
Other (specify),Daily,About the same,Neill benefit me in future 
,,,
Other (specify),A few times a month,Less,To remember you all the previous lessons on the school 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Other (specify),Daily,Less,it is because  I don't  have  radio 
,,,
,,,
Textbooks,A few times a week,Less,"I know  it is less  but I have  not radio,  that  is why I  focus  on my old textbooks. "
,,,
,,,
,,,
,,,
Textbooks,A few times a month,Less,Network is poorly 
Other (specify),Daily,Less,No network receptor
Other (specify),A few times a week,Less,Not realible
,,,
,,,
,,,
,,,
Other (specify),A few times a month,Less,Poor Network
,,,
,,,
,,,
Other (specify),A few times a month,Less,Many people lack radio and radio coverage
Other (specify),A few times a month,Less,Not realible
Other (specify),A few times a week,About the same,Provide me food
,,,
Other (specify),A few times a week,Less,Less helpful
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
