"Q34_Are you doing other things at home to learn, aside from radio lessons?",Q35_What are you doing?
Yes,Am doing studies
,
,
Yes,Group studies
,
,
,
,
,
Yes,We revised the previous lessons at home
,
,
Yes,Reading
,
,
,
No,
,
,
No,
,
Yes,Personal studies
Yes,Self study 
,
Yes,My mum is teaching us at home here.
,
Yes,Self study 
Yes,Self study. 
,
No,
,
No,
Yes,Doing my own study using my exercise books 
Yes,Revising my books myself 
Yes,I practice writing A B C D.
,
Yes,So that he don't not forget what his teacher taught them
,
,
No,
,
No,
No,
,
Yes,Reading Tex books
,
Yes,Reading
,
,
No,
No,
No,
,
,
,
,
,
,
,
,
,
,
,
,
,
No,
,
,
,
,
,
,
,
,
,
No,
,
,
,
Yes,"Practing what I  Iearned before covid19 and read news papers
"
,
Yes,Household work and garden work
Yes,Study the topics of my interest
,
,
Yes,"Reading and writing,revising my previous work in school"
,
Yes,Reading news papers and revising my books
Yes,Practing my previous work and cooking
,
Yes,Revising and reading and writing
Yes,Practing my books and reading news papers
,
Yes,Practice and revising my books
,
Yes,Practice and revise my previous work
,
Yes,Practice and revise my previous work
Yes,Practice and revise my previous work
Yes,Reading and reading the my previous work
Yes,Reading my previous work
Yes,Doing revision in my previous work
Yes,Revision
Yes,Revision of the things I Iearned in school
Yes,Reading and writing
,
Yes,Revising and practicing
,
Yes,Revising my previous lesson
,
Yes,Reading books
,
Yes,Reading and writing revision
,
Yes,I am practicing my previous work
,
Yes,Practing my previous work from the school
,
Yes,Practing and revising
Yes,Reading and precise
Yes,Reading and writing
Yes,Mostly revising my previous work
Yes,Revision on the previous work
Yes,Revision
Yes,I do revision
Yes,Doing my revision
Yes,Doing my revision
Yes,Revision and practice the previous work
Yes,Revision
,
,
,
,
No,
,
,
,
,
,
,
,
,
,
,
,
No,
Yes,I revised theast lessons
Yes,Read my text books.
,
Yes,I have the text books.
,
,
,
,
,
,
Yes,"I cook ,Fetch water and even some I use to go the farm some time."
Yes,"Cooking ,digging at home."
Yes,Cooking and fetching water.
Yes,Cooking and fetching water.
,
Yes,Cooking andfetching water.
Yes,Digging in the farm
Yes,"Washing clothes, cooking fetching water."
Yes,Am supporting my parents.
Yes,Looking after cattle.
,
,
,
,
Yes,Reading texbooks and my note books at home
Yes,Reading texbooks
,
,
,
Yes,Reading text books
Yes,Reading text books
Yes,Reading text books
No,
Yes,"Harvesting, cooking and reading"
No,
No,
,
Yes,"Cooking, fetching water and fire wood."
,
Yes,Self studies
Yes,Studies
Yes,Group studies
Yes,Study
Yes,Studies
Yes,Studies
Yes,Studies
,
Yes,Studies
Yes,I engage myself in practicing the lessons I had in school.
,
,
,
Yes,I only revise my books at night 
Yes,I am only doing self study 
Yes,I only revise my books
No,
,
Yes,study  my old books  and other home work
Yes,concentrate on my old notices
Yes,Some times I  do  some numbers and read  stories book
No,
No,
,
,
,
,
,
Yes,Self studies.
,
,
,
,
Yes,He wants to keep the knowledge active because he feel that school will reopen .
,
Yes,I clean the compound and I work in the farm.
Yes,"Fetching water ,cooking and always clean the house."
Yes,"Fetch water ,washing clothes and cook."
Yes,Cooking and fetching water.
Yes,I dig in the farm .
Yes,Digging the compound.
,
Yes,Cooking and fetching water.
,
Yes,Domestic work
Yes,Cooking and washing clothes.
,
,
,
,
,
Yes,Digging the compound and keeping my goats.
No,
Yes,Reading some text books
Yes,Digging and look after goat.
No,
No,
,
,
Yes,Digging the compound and looking after our goats.
Yes,Study
Yes,Reading
Yes,Studies
Yes,Study books and do other research
No,
Yes,Group studies
Yes,Studies
Yes,Reading
,
,
,
Yes,I revise my notice
Yes,I revise my previous notice books
Yes,We sit in a group and discuss on the topic in a particular Subjects
No,
No,
,
,
,
,
,
,
,
No,
Yes,Reading books after coming back from the garden
Yes,Reading books
Yes,Reading notes
,
,
No,
No,
,
,
,
,
Yes,Cleaning the compound some time.
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Yes,After being free I went and open the book study inside the house
,
Yes,Calculation of mathematics
Yes,Self studies.
Yes,Revision.
Yes,Self studies.
No,
Yes,Self studies.
,
,
Yes,She is doing some homework
Yes,Home work
,
Yes,Used of text book and exercise given during school time
Yes,Am doing some homework for example revision of my own book
,
Yes,Home work
,
No,
Yes,Wash utensils and cooking
No,
Yes,Harvest graunuts
,
Yes,Harvesting granuts
,
No,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Yes,Reading the book
,
No,
No,
,
Yes,To maintain the passed lessons taught by their teachers
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Yes,Reading biology
No,
No,
Yes,Some times I use to revise my subjects
,
,
Yes,Cooking at home
Yes,Cooking
Yes,Washing and cooking
Yes,Cooking
Yes,Cooking
Yes,Cooking
Yes,Cooking
Yes,Washing
Yes,House activities 
Yes,House activities 
Yes,Cooking 
No,
No,
,
,
,
,
Yes,I and my brother do revise our books and help each other.
No,
Yes,Group studies at home 
Yes,I always revise my books 
Yes,I am studying on my own 
,
,
,
,
,
,
Yes,"Read, exercise, collect firewood etc"
,
,
Yes,"Read,play with my colleagues"
Yes,Look after cattle and read my books
Yes,"Read,help my parents with housework"
No,
Yes,I only revise my books 
No,
Yes,"Cooking, washing utencil"
No,
No,
No,
No,
No,
Yes,Washing clothes and cleaning compound.
,
,
,
,
,
,
No,
,
,
Yes,Revision of notes
Yes,Do read my books
Yes,Read textbooks and revise my notes
,
,
Yes,Revise notes
Yes,Revision
Yes,Read if there is time
Yes,Revision
Yes,Revision
Yes,Read my books
Yes,"Read, and do house work"
Yes,Collect the firewood and read my books
,
,
,
No,
,
,
No,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
No,
,
Yes,Practising words problems
,
No,
No,
,
Yes,"Pounding
Fetching water
Cultivation
Cutting grass and thatching House"
No,
No,
No,
,
,
No,
No,
No,
No,
Yes,"Taking care of children
Herding cows
Grazing goat when free time is available."
Yes,Running small scale business in the market of Malek Alel
Yes,Cultivation
Yes,"Washing and cooking
Taking care of siblings"
Yes,Running a small business in the market of Malek Alel
,
,
,
No,
,
,
,
,
,
,
,
,
No,
Yes,Demostic work
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
No,
,
Yes,Reading some books
,
Yes,I do some revisions
Yes,Revise my lessons
,
,
,
Yes,Reading
Yes,White for
No,
No,
,
,
,
,
,
,
,
No,
No,
,
,
No,
No,
,
,
,
,
Yes,Pleating and cooking
No,
,
Yes,Cleaning and other women's activities 
No,
Yes,Self reading
Yes,When are you going to bring feedback on the questions
No,
Yes,I do read lonely
,
No,
,
Yes,Reading alone
No,
No,
No,
No,
,
,
,
,
Yes,Reading personally at home
,
,
Yes,Revision of the previous lessons
,
,
,
Yes,Reading the books
,
Yes,Revision
Yes,Revising previous lessions
,
,
Yes,"Revision, research and doing homework"
Yes,Discuss in group and learning home work
Yes,"Read,fetch water,and cook at home"
Yes,Look after cattle and sometimes read my books
Yes,"Read,wash my clothes and look after cattle"
Yes,Read and wash my clothes
Yes,"Read,fetch water and collect firewood"
Yes,"Fetch water, collect firewood,help my parents with housework and read my books"
Yes,Fetch water and read my books
Yes,Read my books and help my parents with housework
Yes,Read my books and cook
Yes,Read my books
,
Yes,Cooking 
,
Yes,Doing house activities 
No,
No,
No,
No,
No,
No,
No,
No,
No,
Yes,homework 
No,
No,
Yes,"I  some time ,  revised my  old     notes  exercises.  at  home. but  I never, listening, to radio lessons one day."
No,
No,
No,
,
Yes,Reading 
Yes,House work
Yes,Cooking
No,
No,
No,
No,
Yes,Reading writing book
No,
No,
No,
Yes,Cultivation
Yes,Domestic work
Yes,Weeding
No,
Yes,Domestic work
,
,
,
,
,
,
,
,
,
,
No,
,
,
,
No,
No,
No,
,
No,
No,
No,
,
No,
,
No,
,
No,
,
,
Yes,Reading books
No,
,
,
Yes,Looking after goats
Yes,Cooking for the family and harvesting garoundnut
,
,
No,
,
Yes,Caltivation and looking after cattles plus goats
Yes,"Caltivation ,harvesting and groundnut"
Yes,"Harvesting, cooking,collect water and washing clothes for the family"
Yes,"Caltivation, harvesting and looking after cattles"
,
Yes,"Harvesting, looking after goats and collect water from the well"
Yes,Looking after goats and harvesting groundnut
Yes,Harvesting groundnuts and looking after gaots
Yes,"Harvesting,cooking and general cleaness of the compound"
,
,
Yes,Looking after goats and harvesting groundnuts
,
Yes,"Caltivation, harvesting and my studies"
,
,
No,
No,
,
Yes,Read
,
,
,
Yes,Reading books
,
,
,
,
,
,
,
,
,
,
,
,
Yes,Reading at home
Yes,Cooking
No,
Yes,Studies
Yes,Studies
Yes,Studies
Yes,Study
Yes,Studies
Yes,Studies
Yes,Studies
Yes,Studies
Yes,Studies
No,
,
,
,
No,
,
No,
No,
No,
No,
,
,
Yes,Reading
No,
Yes,Looking after cattle and goats.
Yes,House works
,
,
,
,
,
Yes,Looking after cattle and cultivation.
,
,
,
Yes,Reading
,
No,
Yes,Revision
,
Yes,Making cakes for selling 
Yes,Making cakes
Yes,Sometime I do other house activities 
No,
Yes,Making food 
Yes,Studies 
No,
No,
,
No,
No,
No,
No,
No,
No,
,
,
,
Yes,Reading books.
No,
Yes,Study books 
Yes,Study  my books
Yes,Study my books
Yes,Study my books at home
Yes,Study my books at home
Yes,Study my books
Yes,Studying my books
Yes,Study my books 
Yes,Study my books at home
Yes,Study my books
Yes,Studying my books
Yes,Studying my books
,
Yes,Studying my books
Yes,Singing and practicing alphabetical letters 
,
,
,
,
,
,
,
,
,
Yes,Studying books
Yes,Study  my books 
No,
,
Yes,Studying my books
Yes,Studying  my books
Yes,Studying my books
No,
,
Yes,Counting numbers
Yes,Counting numbers
,
Yes,Study books
,
,
Yes,Studies 
,
Yes,Studies 
No,
,
,
Yes,Studies 
,
Yes,Studies 
Yes,Studying my books
No,
Yes,Study books 
,
,
No,
,
,
,
,
,
No,
,
,
,
,
,
Yes,Studies 
Yes,Studies 
,
Yes,"Read,woke in the market and sometimes play football"
Yes,Read my books
Yes,Read and play soccer 
Yes,Reading  from my text books
Yes,"Read, play volleyball and collect firewood"
Yes,Read and play soccer
Yes,Reading
Yes,Revise my subjects
,
Yes,Readings if no radio lesson
Yes,Play valley ball sewing
Yes,"Reading,playing valley ball"
Yes,"Playing foot ball,reading"
Yes,"Reading with friends,playing foot ball"
Yes,"Reading with friends,playing foot ball"
Yes,Reading at home
Yes,Reading
,
,
,
,
,
,
,
,
,
,
,
,
,
Yes,Reading textbook
Yes,Reading textbooks
Yes,Reading textbooks
,
No,
Yes,Studies 
No,
Yes,Reading our books at home 
,
Yes,Reading the exercise books
No,
,
No,
,
No,
,
No,
No,
,
,
,
,
No,
Yes,Studies 
No,
,
Yes,Studies 
Yes,Studies 
Yes,Studies 
,
,
Yes,Studies 
,
,
,
No,
No,
,
,
Yes,Studies 
,
Yes,Studies 
,
,
Yes,Studies 
Yes,Studies 
,
,
Yes,Studies 
,
Yes,Studies 
Yes,Studies 
No,
No,
,
Yes,"home work,  "
Yes,home work 
Yes,I used  to read .
Yes,Domestic work
Yes,Revised 
Yes,Revised my text books 
Yes,Revise them 
Yes,Revised textbooks
Yes,Reading books 
No,
Yes,"Reading ,reviving "
Yes,Reading 
No,
Yes,Reading 
Yes,"Reading ,practice "
,
,
,
,
Yes,Reading books
Yes,Reading school books
,
,
,
,
Yes,Self reading
,
No,
Yes,Personal studies
,
No,
,
,
,
,
,
,
,
,
,
,
Yes,Domestic work
No,
,
No,
,
No,
No,
No,
,
No,
,
No,
,
No,
,
,
No,
,
,
,
No,
,
No,
,
No,
,
No,
No,
No,
No,
,
Yes,I just revise my notes from school.
No,
,
Yes,Studying on my own 
,
,
,
,
,
,
Yes,Reading my books 
No,
,
,
,
,
Yes,Read my books
Yes,"Read,talk with family and play with friends"
,
,
,
,
Yes,Collect water from borehole and sometimes read my books
Yes,"Read,cook and fetch water"
Yes,"Read, cook,make tea and do house work"
,
Yes,Play with friends and read sometimes
,
Yes,Play football and sometimes read my books
Yes,Read and fetch water
Yes,Spent time with my friends
Yes,I read my books
Yes,Play football and read my books
,
,
,
,
,
,
No,
,
Yes,Revising the previous things learned in the school
No,
Yes,Reading
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Yes,Studying
,
Yes,Studying
,
Yes,Studying
No,
,
Yes,Studying
,
No,
No,
,
,
No,
Yes,Studying
,
,
Yes,House activities
,
Yes,Studying
Yes,Mending
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Yes,Revising my previous work
Yes,Revising my previous work
,
,
,
No,
Yes,Practing my previous work at school
,
,
Yes,Practing and revising my previous work at school
Yes,Practing and revising my previous work
,
,
,
,
,
Yes,Revising and practicing with my friend
Yes,Practicing my previous work
Yes,Revising and practicing
Yes,Revision and practice
Yes,"Homework, group discussion"
,
Yes,Discussion
Yes,Gruop discussion
No,
Yes,Home work and reading
Yes,Reading and exercise
Yes,Discuss with fellow students and exercises
Yes,Discuss with friends
Yes,Read books share with the other
Yes,Reading and exercise
Yes,Exercises and group discussion
Yes,Reading text book making exercise
Yes,Reading and discussion
Yes,Homework and discussion
Yes,Revising and practicing
Yes,Revision
Yes,Practicing with my friend
Yes,Practicing with my friend
Yes,Revision and practice
Yes,Revision and practice
,
No,
Yes,sometimes  I read  in my textbooks 
,
,
,
,
,
,
No,
No,
Yes,I read science and Maths.
No,
Yes,Revision of books
No,
Yes,"Home work, reading books"
Yes,Reading books
Yes,Reading books
,
No,
Yes,I used  to read  at home 
,
,
,
,
,
,
,
,
,
,
,
,
,
Yes,"Reading,washing TV"
Yes,Reading text books
Yes,"Washing TV,playing foot ball"
Yes,"Reading,playing foot ball"
Yes,"Reading,playing will valley ball"
,
,
,
,
,
,
,
,
Yes,"Reading,playing foot ball"
Yes,"Reading,"
Yes,"Reading,cooking and my mother"
Yes,Reading text books
Yes,"Reading,playing"
,
,
,
,
Yes,Studies
Yes,Studies
Yes,Studies
Yes,Studies
Yes,Studies
Yes,Reading the school pumphlet
Yes,Studies
Yes,Group studies
Yes,Group studies
Yes,Studies
Yes,Studies
,
,
,
Yes,Reading at home
Yes,Reading
,
,
,
,
,
,
,
,
,
,
No,
Yes,Reading
,
Yes,Reading
Yes,Reading and other things.
Yes,Reading and doing other things apart from radio lessons.
,
No,
Yes,Study books
Yes,Reading 
Yes,Reading
No,
,
,
Yes,Revising my school work and field work
Yes,Working in the garden work and revising my school work
Yes,A teacher used to come and teach us at home
Yes,Cooking
Yes,Washing and cleaning
Yes,Revision of the school work
,
,
,
Yes,Revision my previous work
,
,
Yes,Revising my lessons
,
No,
,
No,
,
,
Yes,Reading my book
,
Yes,I'm reading my exercise books.
,
No,
,
No,
No,
,
,
,
No,
,
No,
Yes,Revising my previous work
Yes,General revision
Yes,Revision
No,
Yes,Practicing my previous work done in the school
No,
No,
,
,
No,
No,
No,
,
,
No,
No,
No,
No,
,
,
No,
No,
No,
No,
No,
,
No,
No,
,
No,
No,
,
,
,
,
,
,
,
,
No,
Yes,Doing my previous work
,
,
No,
,
,
Yes,Practicing my previous work
,
,
,
,
,
,
,
,
Yes,Self studies at home
,
,
Yes,Private coaching
Yes,Self studies at home
,
,
,
,
No,
No,
,
Yes,Revision of notice books
Yes,Mostly farm work
,
No,
,
,
,
,
Yes,Studying 
No,
No,
Yes,I read  my textbooks.
Yes,Studying 
Yes,Studying 
Yes,Reavising previous lessons.
,
Yes,Reavising previous work.
Yes,Revising previous lessons.
,
Yes,Studying 
Yes,Revising previous lessons through reading textbooks.
Yes,Studying 
,
,
Yes,Studying 
,
No,
Yes,Revising my previous work
Yes,Garden work and revising my school work
Yes,Making my revision on the previous work
Yes,Practicing my previous work
Yes,Revising my work
Yes,Revision on my previous work
Yes,Discussion in group
Yes,Working with friends and doing exercises
Yes,Discuss with friends and do more many exercise
,
Yes,Group work and exercise
Yes,Group discussion and self test exercise
Yes,Group work and reading plus doing exercises
Yes,We discuss with friends and fellow students
Yes,Practicing my previous work
Yes,Revision
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Yes,Reading and playing valley ball
Yes,Reading 
Yes,Reading cooking
Yes,"Washing my clothes,cooking and reading"
Yes,Readings
Yes,Reading and playing foot ball
Yes,Readings
Yes,Reading
Yes,Readings
Yes,Because I want to increase my knowledge 
Yes,"Reading ,practice textbooks"
Yes,Because  I want to have more knowledge 
Yes,Reading textbooks
Yes,Reading Practicing 
Yes,Because I want keep my self with my textbooks 
Yes,"Reading,attending news "
Yes,Reading 
,
,
,
Yes,Reading 
Yes,"Reading ,reviewing "
No,
No,
No,
Yes,Reading 
Yes,Reading textbooks
Yes,"Reading ,reviewing "
Yes,"Reading ,reviewing "
No,
Yes,Reading 
Yes,Reading 
Yes,Reading 
Yes,"Reading ,practicing "
Yes,"Practicing ,"
,
,
,
,
,
,
,
Yes,Reading 
Yes,Reading 
Yes,Reading 
Yes,Reading 
Yes,Reading 
Yes,Reading
,
No,
No,
Yes,Reading textbooks
,
Yes,Doing house hold work and read my books with my friends
,
Yes,House hold work
,
,
,
,
,
,
,
,
,
,
,
Yes,Science 
No,
No,
,
,
,
No,
No,
No,
No,
,
,
No,
,
,
No,
No,
,
No,
Yes,English 
No,
Yes,I practice  English 
No,
,
Yes,Reading  English Reader
,
No,
,
No,
No,
No,
No,
No,
No,
No,
No,
No,
No,
No,
No,
No,
No,
No,
No,
,
,
,
No,
,
,
,
,
,
No,
No,
No,
No,
No,
No,
,
No,
No,
No,
No,
No,
No,
No,
No,
No,
No,
No,
No,
No,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Yes,Reading handout given by the school.
Yes,Student handout.
Yes,Study package
Yes,School handout
Yes,Reading other books
Yes, study package for the school
Yes,School handout
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
No,
,
,
,
Yes,Practicing my previous work
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Yes,Cooking
,
,
,
,
,
No,
Yes,Reading
No,
No,
,
No,
No,
Yes,Cooking and collecting water
Yes,Reading books
,
,
,
,
,
,
,
No,
,
,
,
,
Yes,Read my books
No,
Yes,Read books
Yes,We only read and listen to radio
No,
Yes,Reading
Yes,Reading
No,
No,
Yes,Reading 
No,
Yes,Reading 
,
No,
No,
,
,
,
,
,
,
No,
No,
No,
Yes,Study books
No,
,
,
Yes,Study books
Yes,Study books
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Yes,Revising my notes
Yes,Revising my notes
No,
Yes,Revising my notes
No,
No,
Yes,Revising my notes
,
No,
No,
,
No,
Yes,Reading
Yes,Reading
No,
Yes,Reading books
Yes,Reading
Yes,Reading
No,
Yes,Reading
No,
Yes,Reading
Yes,Reading
Yes,Reading books
,
,
,
,
,
,
,
,
,
Yes,Reading and coping note
No,
No,
,
,
No,
No,
No,
Yes,I used  to study  at home 
No,
Yes,homework 
Yes,"I was  cultivating, "
,
,
,
,
No,
No,
No,
No,
Yes,Cooking 
Yes,Studying 
Yes,Studies 
Yes,House materials 
Yes,Studying 
Yes,Studying 
Yes,Studying
Yes,Reading from the books
,
,
,
No,
Yes,Helping my family cleaning the fens
No,
,
No,
Yes,Cooking
Yes,Washing
,
No,
No,
,
,
,
,
No,
No,
No,
Yes,Revising my exercise books at home.
Yes,Reading books and revising my exercise books
Yes,Revising my exercise books
,
,
,
,
Yes,Doing housework and reading
,
Yes,Housework and reading
Yes,Housework and reading
Yes,Reading 
Yes,Looking after the goats/sheep and reading
Yes,Harvesting crops and reading
No,
,
,
Yes,Reading textbooks 
,
,
Yes,"Practice  ,reading "
Yes,"Cultivation, harvesting and reading"
Yes,Reading and housework
Yes,"Reading ,practicing "
Yes,Housework and reading
Yes,Housework and reading
Yes,Reading textbooks 
Yes,Looking after goats/sheep and reading
,
Yes,"Cooking, cleaning of home compound and reading"
Yes,"Practicing ,Reading "
Yes,Reading 
Yes,Reading 
,
,
,
Yes,"Reading textbooks ,looking stroy"
Yes,Reading textbooks 
Yes,Reading 
Yes,Reading
Yes,Reading
Yes,Reading
Yes,"Cooking,reading"
Yes,Reading
Yes,Reading
Yes,Reading
Yes,Reading
,
,
,
,
,
Yes,Reading
Yes,Reading
Yes,Studying at home
,
,
,
,
,
,
,
,
,
Yes,Revise my books.
Yes,Revise my books.
Yes,Reading my books.
Yes,Read my books.
Yes,I go to the garden.
Yes,Revise my books.
Yes,Revising my books.
No,
No,
No,
Yes,Revising my books.
Yes,Revising my school books.
,
,
,
,
No,
Yes,Revising my books.
,
,
,
Yes,Revising my books.
Yes,Revising my books.
Yes,Revising my books.
No,
Yes,Revising school notes
No,
Yes,Practising maths subject
,
No,
Yes,To recalled what has been taught from the school and build courage that schools reopen one time reopen.
Yes,Reading at home during free time
Yes,Remain and maintain passed knowledge up to date.
,
,
,
,
No,
,
No,
No,
No,
No,
,
,
,
No,
,
,
,
,
,
,
,
No,
,
No,
,
No,
No,
,
No,
No,
,
Yes,Reading my previous notes
,
,
,
No,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Yes,Reading
Yes,Reading
Yes,Revising what have been taught in school before
Yes,I use to revise my school notes
No,
Yes,I do read my books at home
No,
No,
Yes,Reading
,
,
Yes,Reading my books
No,
No,
No,
Yes,Reading the textbooks
Yes,Reading
,
No,
Yes,Reading notebooks
Yes,Reading
