Gender ,Age,Title,School Type Level,What is the School location,School Category,State
Male,20.0,Learner,Primary,Rural,Non-IDP School,Warrap
Male,49.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Eastern Equatoria
Female,54.0,Parent/guardian/sibling,Secondary,Urban,Non-IDP School,Eastern Equatoria
Female,18.0,Learner,Primary,Rural,Non-IDP School,Eastern Equatoria
Male,13.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Female,14.0,Learner,Primary,Rural,Non-IDP School,Eastern Equatoria
Male,13.0,Learner,Primary,Rural,Non-IDP School,Eastern Equatoria
Male,47.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,35.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
,,,,,,Eastern Equatoria
,,,,,,Lakes
Female,38.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Central Equatoria
Female,49.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Female,44.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Central Equatoria
Male,12.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,41.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,18.0,Learner,Primary,Urban,Non-IDP School,Lakes
Male,15.0,Learner,Primary,Urban,Non-IDP School,Lakes
Male,26.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Lakes
Female,40.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Lakes
Male,19.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Male,19.0,Learner,Primary,Urban,Non-IDP School,Lakes
Male,35.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Western Equatoria
Female,27.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Central Equatoria
Male,15.0,Learner,Primary,Rural,Non-IDP School,Central Equatoria
,,,,,,Unity
,,,,,,Upper Nile State
Female,16.0,Learner,Primary,Rural,Non-IDP School,Warrap
Male,39.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Warrap
Male,37.0,Parent/guardian/sibling,Secondary,Rural,Non-IDP School,Warrap
,,,,,,Unity
,,,,,,Unity
Male,15.0,Learner,Primary,Rural,Non-IDP School,Warrap
Female,16.0,Learner,Primary,Rural,Non-IDP School,Warrap
Female,17.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
,,,,,,Eastern Equatoria
Male,16.0,Learner,Primary,Rural,Non-IDP School,Warrap
Male,16.0,Learner,Primary,Rural,Non-IDP School,Central Equatoria
Male,13.0,Learner,Primary,Rural,Non-IDP School,Warrap
Male,42.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Warrap
Male,38.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Warrap
Female,17.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Male,9.0,Learner,Primary,Rural,Non-IDP School,Lakes
Male,25.0,Teacher,Secondary,Rural,Non-IDP School,Central Equatoria
Female,15.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,39.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Western Equatoria
Male,10.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Female,16.0,Learner,Primary,Rural,Non-IDP School,Eastern Equatoria
Female,21.0,Learner,Primary,Rural,IDP School,Unity
Male,16.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Male,29.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Lakes
Female,38.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Male,10.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Male,11.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Male,57.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,15.0,Learner,Primary,Rural,Non-IDP School,Eastern Equatoria
Female,13.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,17.0,Learner,Primary,Rural,Non-IDP School,Eastern Equatoria
Male,39.0,Teacher,Primary,Rural,Non-IDP School,Western Equatoria
Female,15.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
,,,,,,Unity
Female,19.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Female,10.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Female,15.0,Learner,Primary,Rural,Non-IDP School,Warrap
Female,16.0,Learner,Secondary,Urban,Non-IDP School,Western Bahr el Ghazal
Female,23.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Central Equatoria
Female,14.0,Learner,Primary,Urban,Non-IDP School,Western Equatoria
Female,32.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Western Equatoria
,,,,,,Warrap
,,,,,,Unity
,,,,,,Jonglei
Female,40.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Warrap
Female,12.0,Learner,Primary,Rural,Non-IDP School,Warrap
Female,21.0,Learner,Secondary,Urban,Non-IDP School,Eastern Equatoria
Female,42.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Central Equatoria
Female,13.0,Learner,Primary,Rural,Non-IDP School,Warrap
Male,60.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Warrap
Male,15.0,Learner,Primary,Rural,Non-IDP School,Eastern Equatoria
Female,44.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Male,48.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Central Equatoria
,,,,,,Warrap
,,,,,,Unity
,,,,,,Upper Nile State
,,,,,,Western Equatoria
Female,28.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Warrap
Female,17.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Female,13.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,12.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,17.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Female,13.0,Learner,Primary,Urban,Non-IDP School,Eastern Equatoria
Male,12.0,Learner,Primary,Urban,Non-IDP School,Eastern Equatoria
,,,,,,Lakes
Male,20.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Female,12.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Female,25.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Warrap
Male,12.0,Learner,Primary,Rural,Non-IDP School,Warrap
,,,,,,Eastern Equatoria
,,,,,,Warrap
Female,10.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,13.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Male,45.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Lakes
Male,27.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Warrap
Female,17.0,Learner,Primary,Urban,Non-IDP School,Western Bahr el Ghazal
Male,22.0,Learner,Primary,Rural,IDP School,Unity
,,,,,,Eastern Equatoria
Female,15.0,Learner,Primary,Urban,Non-IDP School,Eastern Equatoria
Female,19.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,15.0,Learner,Primary,Urban,Non-IDP School,Lakes
Female,14.0,Learner,Primary,Rural,Non-IDP School,Warrap
,,,,,,Unity
,,,,,,Unity
,,,,,,Warrap
Female,52.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Central Equatoria
Male,15.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Female,18.0,Learner,Primary,Rural,Non-IDP School,Upper Nile State
,,,,,,Upper Nile State
Female,15.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
,,,,,,Western Equatoria
Female,12.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Female,30.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Western Equatoria
Male,30.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Central Equatoria
Male,10.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Female,10.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Female,9.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Female,50.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Eastern Equatoria
Female,18.0,Learner,Secondary,Urban,Non-IDP School,Northern Bahr el Ghazal
Male,17.0,Learner,Secondary,Urban,Non-IDP School,Northern Bahr el Ghazal
Female,19.0,Learner,Secondary,Urban,Non-IDP School,Northern Bahr el Ghazal
Female,20.0,Learner,Secondary,Urban,Non-IDP School,Northern Bahr el Ghazal
Female,18.0,Learner,Secondary,Urban,Non-IDP School,Northern Bahr el Ghazal
Male,48.0,Teacher,Primary,Urban,Non-IDP School,Northern Bahr el Ghazal
Female,18.0,Learner,Secondary,Urban,Non-IDP School,Northern Bahr el Ghazal
Male,15.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,16.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Male,12.0,Learner,Primary,Urban,Non-IDP School,Lakes
Female,52.0,Parent/guardian/sibling,Secondary,Urban,Non-IDP School,Northern Bahr el Ghazal
Male,55.0,Parent/guardian/sibling,Secondary,Urban,Non-IDP School,Northern Bahr el Ghazal
Male,22.0,Learner,Secondary,Urban,Non-IDP School,Northern Bahr el Ghazal
Female,17.0,Learner,Secondary,Urban,Non-IDP School,Northern Bahr el Ghazal
Male,28.0,Parent/guardian/sibling,Secondary,Urban,Non-IDP School,Northern Bahr el Ghazal
Female,20.0,Learner,Secondary,Urban,Non-IDP School,Northern Bahr el Ghazal
Male,57.0,Parent/guardian/sibling,Secondary,Urban,Non-IDP School,Northern Bahr el Ghazal
Female,38.0,Parent/guardian/sibling,Secondary,Urban,Non-IDP School,Northern Bahr el Ghazal
Female,29.0,Parent/guardian/sibling,Secondary,Urban,Non-IDP School,Northern Bahr el Ghazal
Male,16.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
,,,,,,Lakes
Male,28.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
,,,,,,Upper Nile State
Male,32.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Eastern Equatoria
Male,15.0,Learner,Primary,Urban,Non-IDP School,Eastern Equatoria
Male,18.0,Learner,Secondary,Urban,Non-IDP School,Central Equatoria
Female,15.0,Learner,ALP,Urban,Non-IDP School,Western Bahr el Ghazal
Female,31.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Female,11.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Male,10.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Female,8.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
,,,,,,Warrap
,,,,,,Warrap
Female,34.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Female,12.0,Learner,Primary,Rural,Non-IDP School,Warrap
,,,,,,Eastern Equatoria
Female,13.0,Learner,Primary,Rural,Non-IDP School,Warrap
Female,12.0,Learner,Primary,Rural,Non-IDP School,Warrap
,,,,,,Warrap
Male,15.0,Learner,Primary,Rural,Non-IDP School,Central Equatoria
Female,37.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Central Equatoria
Female,15.0,Learner,Primary,Urban,Non-IDP School,Eastern Equatoria
Male,51.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
,,,,,,Lakes
,,,,,,Lakes
Male,13.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Male,56.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Female,16.0,Learner,Primary,Urban,Non-IDP School,Eastern Equatoria
Female,15.0,Learner,Primary,Urban,Non-IDP School,Eastern Equatoria
Female,38.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Female,60.0,Parent/guardian/sibling,Primary,Urban,IDP School,Unity
Female,13.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Female,14.0,Learner,Primary,Urban,Non-IDP School,Western Equatoria
Male,30.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Eastern Equatoria
Female,21.0,Learner,Primary,Rural,Non-IDP School,Eastern Equatoria
,,,,,,Warrap
Male,13.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Female,32.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Eastern Equatoria
Male,17.0,Learner,Primary,Rural,Non-IDP School,Warrap
Female,50.0,Parent/guardian/sibling,Secondary,Urban,Non-IDP School,Central Equatoria
Male,15.0,Learner,Primary,Urban,Non-IDP School,Lakes
Female,32.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Central Equatoria
Female,15.0,Learner,Primary,Rural,Non-IDP School,Warrap
Female,14.0,Learner,Primary,Rural,Non-IDP School,Warrap
Female,49.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
,,,,,,Warrap
,,,,,,Unity
Male,14.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,8.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,75.0,Parent/guardian/sibling,Primary,Urban,IDP School,Unity
Male,48.0,Parent/guardian/sibling,Primary,Rural,IDP School,Western Bahr el Ghazal
Female,40.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Eastern Equatoria
Male,47.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Eastern Equatoria
Male,47.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Eastern Equatoria
Male,18.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Male,19.0,Learner,Primary,Urban,Non-IDP School,Unity
Male,16.0,Learner,Primary,Urban,Non-IDP School,Unity
Male,45.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Male,64.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Male,47.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Female,31.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Female,38.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Female,37.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
,,,,,,Western Equatoria
Female,20.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
,,,,,,Unity
Female,14.0,Learner,Primary,Rural,Non-IDP School,Central Equatoria
,,,,,,Warrap
Female,25.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Male,22.0,Parent/guardian/sibling,Primary,Urban,IDP School,Upper Nile State
Female,45.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Central Equatoria
Male,18.0,Learner,Primary,Rural,Non-IDP School,Eastern Equatoria
,,,,,,Eastern Equatoria
Male,35.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Eastern Equatoria
Female,46.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Eastern Equatoria
Female,15.0,Learner,Primary,Rural,Non-IDP School,Central Equatoria
Female,23.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Central Equatoria
Female,13.0,Learner,Primary,Rural,Non-IDP School,Warrap
,,,,,,Warrap
,,,,,,Lakes
Female,15.0,Learner,Primary,Urban,Non-IDP School,Eastern Equatoria
Male,30.0,Parent/guardian/sibling,Secondary,Rural,Non-IDP School,Warrap
Female,15.0,Learner,Primary,Rural,Non-IDP School,Warrap
,,,,,,Upper Nile State
,,,,,,Eastern Equatoria
Male,13.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Male,13.0,Learner,Primary,Rural,Non-IDP School,Eastern Equatoria
,,,,,,Eastern Equatoria
Male,14.0,Learner,Primary,Rural,Non-IDP School,Eastern Equatoria
,,,,,,Eastern Equatoria
Female,15.0,Learner,Primary,Rural,Non-IDP School,Eastern Equatoria
Female,30.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Eastern Equatoria
Female,42.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Eastern Equatoria
,,,,,,Eastern Equatoria
,,,,,,Eastern Equatoria
Female,29.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Central Equatoria
Male,72.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Eastern Equatoria
Male,25.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Eastern Equatoria
,,,,,,Eastern Equatoria
Male,22.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Eastern Equatoria
,,,,,,Eastern Equatoria
Female,14.0,Learner,Primary,Rural,Non-IDP School,Eastern Equatoria
,,,,,,Eastern Equatoria
Male,15.0,Learner,Primary,Rural,Non-IDP School,Eastern Equatoria
,,,,,,Eastern Equatoria
Male,20.0,Learner,Primary,Rural,Non-IDP School,Eastern Equatoria
Female,16.0,Learner,Primary,Rural,IDP School,Eastern Equatoria
Male,36.0,Teacher,Primary,Rural,Non-IDP School,Eastern Equatoria
Female,12.0,Learner,Primary,Rural,Non-IDP School,Eastern Equatoria
Male,39.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Eastern Equatoria
,,,,,,Lakes
Female,30.0,Parent/guardian/sibling,Primary,Urban,IDP School,Unity
Male,20.0,Learner,Primary,Rural,Non-IDP School,Eastern Equatoria
Female,18.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Male,13.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Male,35.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Western Equatoria
Male,13.0,Learner,Primary,Urban,IDP School,Lakes
Male,14.0,Learner,Primary,Urban,IDP School,Lakes
Female,11.0,Learner,Primary,Urban,IDP School,Lakes
Female,11.0,Learner,Primary,Urban,IDP School,Lakes
Male,10.0,Learner,Primary,Urban,IDP School,Lakes
,,,,,,Eastern Equatoria
,,,,,,Eastern Equatoria
,,,,,,Eastern Equatoria
,,,,,,Eastern Equatoria
,,,,,,Eastern Equatoria
,,,,,,Upper Nile State
Female,12.0,Learner,Primary,Rural,Non-IDP School,Warrap
Female,39.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Warrap
Male,12.0,Learner,Primary,Rural,Non-IDP School,Warrap
Male,40.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Female,33.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Lakes
Male,26.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Lakes
,,,,,,Lakes
Female,27.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Central Equatoria
Female,32.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Lakes
,,,,,,Lakes
Female,15.0,Learner,Primary,Rural,Non-IDP School,Central Equatoria
Female,19.0,Learner,Primary,Rural,Non-IDP School,Lakes
,,,,,,Lakes
Female,20.0,Learner,Primary,Rural,Non-IDP School,Lakes
,,,,,,Lakes
Male,18.0,Learner,Primary,Rural,Non-IDP School,Lakes
,,,,,,Lakes
Female,12.0,Learner,Primary,Urban,Non-IDP School,Eastern Equatoria
Male,17.0,Learner,Primary,Urban,Non-IDP School,Eastern Equatoria
Female,27.0,Parent/guardian/sibling,Secondary,Rural,Non-IDP School,Central Equatoria
Female,29.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Central Equatoria
Male,35.0,Teacher,Primary,Urban,Non-IDP School,Central Equatoria
Female,13.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Male,28.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Eastern Equatoria
Female,18.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Central Equatoria
Male,48.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Central Equatoria
Female,30.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Central Equatoria
Female,13.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Male,13.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Male,75.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Eastern Equatoria
Female,15.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Male,36.0,Teacher,Primary,Rural,Non-IDP School,Warrap
Female,42.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Eastern Equatoria
Female,15.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Female,20.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Female,33.0,Parent/guardian/sibling,Secondary,Urban,Non-IDP School,Central Equatoria
,,,,,,Unity
,,,,,,Unity
,,,,,,Unity
,,,,,,Unity
,,,,,,Unity
Male,17.0,Learner,Primary,Rural,Non-IDP School,Central Equatoria
Male,12.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Male,36.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Central Equatoria
Male,14.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Female,20.0,Learner,Primary,Urban,Non-IDP School,Western Bahr el Ghazal
Male,18.0,Learner,Primary,Rural,Non-IDP School,Warrap
Female,29.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Warrap
Female,14.0,Learner,Primary,Rural,Non-IDP School,Warrap
Male,51.0,Teacher,Primary,Rural,Non-IDP School,Eastern Equatoria
Male,19.0,Learner,Primary,Rural,IDP School,Unity
