"Q61_When schools re-open, do you think your school will have measures in place to ensure a safe learning environment?",Q62_Why or why not?,Q63_What are your concerns about returning to school?
Yes,"I have seen awareness going .
The school will provides our learners some preventives measures to control spreads of the disease.","It is a good things to close the gaps
School should create enough learning spaces. 
Preventives measures must be observed.
Effective teaching for our children."
Somewhat,I don't know if school will provides us with facemask and hands sanitizers.,"We need good teaching for our children.
Hands sanitizers and hands washing facilities must be available."
Somewhat,Teachers are to put things on place,It's late to study
Yes,The school will provides  us with facemask and hands sanitizers.,Provision of effective teaching.
Yes,"Cleaning around the School surrounding, and awareness on covid 19.",To carry on the normal duties of educating our own children. 
No,No enough Space,No
No,No idea of what need to be done.,Food 
,,
,,
No,I have no idea to tell,Corona virus fear
No,I don't know,Corona virus fear
No,I have no idea,Corona virus infection fear
,,
,,
No,I don't know from the school authority,Corona virus infection fear
No,I don't know,Corona virus infection fear
Yes,Measures against covid 19,To go back to school
,,
No,I don't know,Corona virus infection fear
No,because of lack of funds.,its late to reopen schools because learners will not finish the syllabus.
No,I don't know,Corona virus infection fear
No,I don't know what the school authority do,Corona virus infection fear
No,Not sure,Corona virus infection fear
Yes,There will be use of face mask.,So that next year I will be in next class.
Yes,We will keep our school environment clean,Food for our school and toilet for boys and girls 
Yes,"
Have enough space, toilets and hand washing facilities","Why government is following Uganda Educational system.
Only candidates classes can support the teacher."
Yes,Measures against covid 19,To go back to school
No,Somewhat ,"I want my daughter to be back to School, to continue with her studies. "
No,No idea,No idea
Somewhat,Overcrowding in the school.,Serious revision.
Somewhat,We are not notified about what should be done,How Will schools open while the year is ending?
Somewhat,I don't know,I want to go back to school
Yes,Not all,Better service to be provided during the reopening of the school
Somewhat,Somewhat ,My concern is Schools should open so that my children can go back to School and learn. 
Yes,To make the compound clean safe for the learners and awareness about Corona ,Yes I am concerned about the School to go back and learn. 
Yes,With teachers support,Good
Yes,For the safety of our children,"Children should wash hands, cover their noses and maintain social distancing"
No,Only classroom is practical effective,It is good 
Yes,Measures against covid 19,To go back to school
Somewhat,Self awareness.,More concentration.
Yes,Measures against covid 19,Mobilizing children to go back to the school
Yes,Because the school administration normally care about our safety while in school,Is good to go Back to school to learn more new things
,,
Somewhat, I have no idea ,Of course we like to go back to school
No,Coronavirus is still there.,I will return to school when open.
No,I don't know,Corona virus infection fear
Somewhat,I don't know,Let the school to be open
No,No enough classes,Good
Yes,Do some cleaning around the School to make sure Schools are clean. Also awareness on covid 19.,To go to School and learn. Its no good to stay with out learning. 
Yes,Schools have to be cleaned. ,"My concern is, Schools should open so that children can get back to School and continue with their studies. "
,,
,,
,,
No,I don't know,No concerns
No,I have no idea,Corona virus fear
Yes,Keeping social distant,She likes to come back to school to continue with her study 
Yes,Teachers know it,Let children go back to school
No,I don't know,Corona virus infection fear
No,I have no idea,Corona virus infection
Yes,Were given,Yes
Yes,Measures against covid 19,Mobilizing children to go back to the school
No,because at times there are no funds.,pupils will not learn much because a lot of time is already wasted.
,,
,,
,,
,,
No,I don't know,Corona virus infection fear
Yes,Due pandemic,We need to be back to school to knowledge
Yes,Due to virus,"Yes, we need to be back to school"
Yes,I don't know,To go back to school
Yes,Teachers will support,Good
Somewhat,Hand washing facilities available,Yes I want to learn
No,I will concentrate at school,Open school for pupils to learn
,,
Yes,The school should put water at gate plus hand sanitizer to keep pupils safe since it is their responsibility to ensure pupils are safe in school,Am ready to go back to school even if tomorrow
Yes,Yes because we have hygiene clubs in the school and our school is good at ensuring pupils safety in the school,Am ready to go back to school because I have no one helping me at home with school work
No,I don't know,Corona virus infection fear
Yes,Few people in one class because of corona virus,School to be open
,,
,,
No,I don't know,I don't know
Yes,Measures against covid 19,To go back to school
No,No idea,No idea
No,I don't know,Corona virus fear
Somewhat,I don't know,I wish the school to be open soon
Somewhat,I'm not aware of what will happen,I want go back to school
,,
No,During home ratio distribution hand washing facilities were not in place,Schools be open
Yes,Measures against covid 19,Hoping to go back to school
Somewhat,It depends with school.,"Covid 19 preventives measures to in place.
Effective teaching."
No,I don't know what the school authority will do to during the school opening,Corona virus infection fear
,,
,,
,,
No,Class are limited,Covid-19
No,Many don't take Coronavirus as a serous thing.,COVID-19
Somewhat,Because I saw some improvement such water stand,Is for me to regain my school spirit 
,,
Yes,Measures against covid 19,To go back to school
,,
Yes,Teachers are there to help in putting everything Right,I need to go back to school
Yes,"Ensure clean environment around the School, awareness on covid 19",To study and be better persons in the future. 
No,Not sure,What calendar is the school going to use
Yes,Because of Covid 19 in our country,I'm interested to go back to school to get some knowledge
Yes,Fear of Covid 19,No concerns
Yes,School had enough class,Nothing
Somewhat,They will take care of the childre,Schools should be to reduce crime rate by school children
Yes,Yes will have measure in place,Is to learn
Yes,School is safe,My concern is government most open the school
Yes,We have safety measures in place,I need to study learn
Somewhat,Due to covid 19,My concern is learn
Yes,The environment is safe ,We need the government to open the school that's my concern only
Yes,We can used covid19 measure,Due to children are now in the market
Yes,We can apply measure of covid-19,My concern is that learning
Yes,to keep  our  environment safe ,is fine 
Yes,"yes, to make sure all measures  are put in place ",we need to return to school so  that we  continue  our studies 
Yes,Because they say each one will be sitting alone and far away from each other in the school,School needs to open today for us to learn tomorrow
No,Covid-19,I don't have any concerns
Yes,We can help the teacher in the school,Late the school open
Yes,Environment is safe,I don't have any concerns
No,Because is safe,Nothing
Yes,School are safe for the Learners,My concern is school to be open
Yes,The environment is conducive ,School to be open
Somewhat,ADue to covid-19,Need the school to be open
Somewhat,Due to the covid 19,School to be open
Yes,God can saved as and we can talk to our children to follow safety measures,School to be open to our children
Somewhat,No,Education matters to me
,,
Yes,To prevent the spread  of corona virus ,Let pupils go back to school 
,,
Somewhat,Other things not in place,Children should come go school
Yes,Frequently hand washing,Very happy to go back to school
No,More students are sitting on the same desk.,Corona
Somewhat,I don't know,I miss my school
Yes,Teachers are educated people they can do their best to protect our children.,The closure of the schools has affected our children and it took them backwards mostly girls because some of them have already became pregnant and have Noway of going back to school this year.
No,Somewhat ,I want the Schools to open so that I go back to School and learn. 
Yes,Because the school normally guide us on personal hygiene,To get more knowledge
No,Corona viruses ,Okay 
,,
,,
Somewhat,Teachers are the one knows what to do,Let my children go to school
Yes,teachers responsible,just ready
,,
Yes,That is the responsibility for the teachers,no problems
Somewhat,responsibility for teachers,to take care to my lesson
,,
Yes,Because learners will not sit close to one another,He need to return so that i can study.
Yes,"Yes because they care about our life of their Pupils
",We need the schools to be reopened and the pupils takes Care of themselves
No,Schools don't have moneu,Yes I want to go back to school
Yes,"There will be general cleaning of the School compound, hand washing facilities and some other equipments to ensure safe learning environment for the pupils in the School. ",Yes I want my children to learn that's why I  really feel that Schools should open. 
,,
,,
Yes,Measures against covid-19,Welcome
Yes,To prevent our kit from getting corona virus,I to be schools to learn
Yes,By washing hands frequently,More books should be provided
Yes,Hand washing facilities and soap,More school items should be provided
Yes,Because our school environment is cleared and ready for studies,We want all of them to go back to school 
Yes,Social distancing,Face mask and hand washing facility
Yes,Yes our school compound is ready for study,Yes we need to go back to our school
Yes,"The measure is to clean around the School, awareness about Corona virus.",My major concern is to go back and continue with my Education
No,No hand washing facilities,Yes
No,I have not seen,Yes
,,
Yes,"Because teachers will tell them out on face masks, studying par and Wash hands.",He feels good to go back to school
Yes,Social distance,Concern about girl child education
No,I don't know,Corona virus fear
Somewhat,No quiet sure,Schools should reopen such that children back to school
Yes,The school will provides us with enough learning spaces.,"Government to provides us with facemask and hands sanitizers and hands washing facilities.
Effects teaching."
Yes,To control the spread of coronavirus.,Schools should be reopened.
No,I don't have my own radio in our home.,Iam very ready to go back to school.
No,I don't know,Corona virus
Yes,To ensure safe learning environment for learning and some protective equipment for safe learning.,For the pupils to go back and learn.
,,
,,
Yes,Measures against covid 19,To go back to school
No,Somewhat ,I want go back to School and learn. 
Yes,Social distancing,Face mask and clean hygiene
Yes,I think school ahas measures in place plus enough space and free air  in the village here.,When school reopen I urge NGOs to provides pur school with school materials and sport equipment.
Yes,Social distancing,Girls who have dropped out should be advised
Yes,Provision of more desk for social distancing,Children should really go back to school to stop dropping out of school
No,No social distancing,Children should come back to school
Yes,Because  pupils will learn the safety measures,Its ok
Yes,We should follow covid-19 rules and order,We need FM and function network in Koch 
Yes,It is always welcome and conducive,"FM, Network and reopen all the schools"
Yes,Because we keep  our school clean,Pupils  need too observe covit19 protocol
Yes,Because there is water for handwashing ,Let children go to school 
No,Because the school needs more hygiene facilities ,It is when our are at school 
No,Better children at school  than listening to radio at hone,Let covit19 protocol be observed 
Yes,It has some hygiene and sanitation facilities ,School is a safe place for children 
No,The school has some hygiene facilities ,Let schools be reopened 
,,
Yes,Such that they will keeping them busy to attend their lessons,Our concerns is that we need children to go back to school
,,
Yes,Because protect us from edimic disease.,Iam feeling well.
,,
No,Somewhat ,Schools should open so that students can go back to School to get their mind opened 
No,We lack a lot of safety materials,Teachers salary should be increased since this time around there is going to be much attention
Yes,To protect our children from disease.,Yes we need the schools to be reopening.
No,They don't have hand washing facilities,Happy for reopening of schools
,,
Yes,There are hand washing facilities,School is open for everyone
Yes,It should be a day school,Mother alone can not teach her own children
Yes,Because COVID 19 is bad disease.,We need to school to be reopening keep us busy.
No,It not safety,Its Good
No,It will depend with the school authority,Corona virus fear
,,
,,
Somewhat,They know that covid 19 is dangerous diseases that need protection,School should most girls are getting pregnant
No,Have no idea,Corona virus fear
Somewhat,Because it depends on how the smc and school teacher,Congestion and spreading of virus
,,
,,
No,Safe measures are not in place,Good idea
Yes,Provide washing facilities with regular washing ,School should reopen such that we continue learning.
,,
Yes,"Provide face mask, social distance among school children.",School should be reopen so that he comes back to school.
,,
No,Keeping social distance and children can be taught outside in order to keep social distance instead of children congested in classroom.,I can still go back to school but will pass like previous years because she has not been taught almost for two terms?
Yes,Provide washing facilities in all classroom ,School should be reopen to continue learning 
Yes,"Provide safe security for learners,  local leaders will get involve to aware every child to come back to school",She will be able to provide her children with all the school requirements so that they can continue with lessons.
,,
,,
Yes,Because the school to guilds the children from disease.,She want the school to be reopening so that her children will be going to school to learns.
Yes,He will support the school by cleaning around school compound to ensure there learners are safe .,Work together with teachers to ensure all the children return to school.
Yes,Addition of classrooms to keep social distance for the learners during lessons ,Schools should be reopen to enable his children study for their future.
,,
Yes,Because we have known all the preventive measures from NGOs through awareness.,School should be reopen so that our children continue learning.
,,
Yes,Providing safe measures by give hand washing facilities in school,To gain knowledge from the teachers because she has been at home since coronas broke in.
,,
Yes,Our school will provide for us the safe measures by keeping social distance and washing hands all the time.,He wants to study so that in future he also get jobs to help his people.
,,
Yes,Provision of hand washing facilities in the school and keeping social distance.,He will continue learning and this will change his life tomorrow to be some one in future.
Yes,By providing face masks to all the learners.,School should be reopen to ensure girls return to school and cases of pregnancy is reduce by 75%.
No,"Because the the number of learners iis very great, even in classrooms they are congested taking the nature if boarding school , so no easy to keep social distance",She is not ready to reopen the school because we are left with one term how are we going to access the learners and where to begin teaching from.
No,Because it spread from one person to another therefore it is no good for people come togther,She likes schools to reopen so that she can back to study.
Yes,Provide washing facilities for the learners ,School should reopen so that children continue learning.
,,
Yes,Hand washing soap,Face mask
Yes,School will help us to be free from coronaviru,We're happy to come back to school
Yes,Measures against covid 19,To go back to school
Yes,Measures against covid 19,To go back to school
Somewhat,Somewhat ,To let the children go back to School and learn. 
Somewhat,No resources,It is good returning to school
Yes,Put on mask and two people on the bench for social distancing.,Should should open but social distancing guidelines on our minds
No,I don't know,I like schools to open so that we get back to school
Somewhat,I don't know,Is good to reopen
Somewhat,Am not sure,Is good
,,
,,
,,
,,
,,
,,
No,I don't know,Corona virus infection fear
No,I don't know from the school,I have no words to tell
No,I don't know what the school authority will put in place to for reopening,Corona virus fear
Yes,"To ensure safe learning environment for the children, and provide protective equipment and also learning materials for the children.",The major concern is children should go back to school and continue with their studies.
No,Social distancing,The schools to reopen
Yes,Hand washing facilities should be in put place,The schools are to reopen it immediately
,,
Yes,It good for pupils to be in school,Good ideas
No,I don't know,I like that the schools to reopen
,,
Somewhat,Because of protection .,"If they open the school they will be going to school, if not they stay home."
Yes,Measures should be in place due tomorrow the fear of covid-19,The schools should reopen immediately
,,
Yes,Social distancing,It's welcomed
,,
Yes,"Covid-19 rules, ie social distancing",Reopening of the schools is welcomed
,,
No,I don't know whether they will provide,Yes l want to study
Somewhat,"
Hand wash facilities are there",No this is now third term
Yes,Putting on hand washing facilities and face masks.,Is okay because the learners are missing so much 
Yes,Safe measures will be in place,Good
Yes,We have water and  also minimise the numbers of children in the classrooms.,I need the calendar not to be extended
Yes,Because our teachers are aware of the preventive measures.,I just want school to  open such that we resume our lessons.
Yes,"If they keep all the rules and regulations of how coronas spread, then they will be safe.",Schools should reopen to enable learners come back to learn from the teachers.
No,Child are not easy to control,No concern
No,Control of children will be difficult,Covid-19
No,COVID-19,Covid-19
Yes,School will put measures in place,Nothing
No,No enough classroom,Nothing
Yes,Children will be told all the preventive measures of corona virus.,School should be reopen for all class so that to avoid been idle and not tempted to be criminals of the village.
No,No materials in the schools,Its a good ideas
Yes,Because we will keep social distancing,Corona virus infection fear
Somewhat,Teacher are good care takers of children they know how to handle them,Schools should be open
Yes,The school will provide washing facility to all,Nothing
Yes,Because they care about Heath of the students,We need to go back to school
Yes,No need to keep children at home,Nothing
,,
,,
,,
,,
,,
Yes,Because to protect us form the disease.,We need the schools to be reopening keeping us busy .
Yes,Provide hand washing facilities and encourage learners to on face masks.,He wants to go back school.
Yes,Distancing ,Good
Yes,Health measures will be in placed,Good ideas
Somewhat,I don't know,Let the school to be open
No,I don't know,I have no concerns
No,I don't know,Covid 19 fear
No,I don't know,Corona virus infection fear
Somewhat,All facilities are not in place,Facilities to be put in place to stay safe from coronaviru
Somewhat,We were not told about this,I'm afraid our classes are not good how shall we learn
Yes,Measures against covid 19,To go back to school
Yes,But we delay a lot,Nothing
Yes,Self awareness about covid 19.,Serious teaching.
Somewhat,Lack of resources,I wants our children to go back to school
No,Because we are out of school since it was closed,Will there be textbooks for us?
No,The school is even not clean,Schools should open immediately
Somewhat,We are given any instructions,"I feared covoid-19, are really going to be safe?"
Somewhat,I don't know what should be done,My concerns are if we return to school we need books
Somewhat,I'm not taught of what to be done next,"My concerns are how shall we cover the year,s syllabus in remaining few months"
No,No measures taught to me,It is good to open school
Somewhat,School shall do any necessary measures to protect us,We need conducive learning environment
Somewhat,It will be handled by the teachers and PTA,We need to be given books and exercises
Somewhat,Because I'm not sure if what to be done,Our school environment need cleaning and classes repaired.
Yes,Measures shall be applied to protect children,My concerns are how should the lessons begin if the classes are not renovated
Yes,Because our teachers are all present ,I like to go back to school again 
No,I don't know,Covid 19 fear
Yes,Because our teachers are there. ,I want school to quickly 
Yes,Our teachers are ready.,Nothing
Somewhat,I don't know,All Schools schools be reopen
Yes,Because I want  my children to continue their  education,Their future
Yes,I will be happy if schools open.,Nothing
No,I don't know,Teaching is late
No,Because I don't know,I am only thinking of when school will open
No,Iam not a learner,Nothing 
No,Because I don't know what our teachers will do ,Nothing 
Somewhat,Safe school,I wants to go back to my class
Somewhat,Because people use to say that school will open. ,No
Yes,Because teachers are also ready,Nothing
No,I am not Student ,Nothing 
No,I don't know from the government,I can not day anything but if schools open it will be good.
No,I don't know,Nothing
Yes,Because our teachers are there waiting for the government to open schools.,"I am worried  ,because the year is almost ending."
Somewhat,I don't know,Yes I want to return to school
Yes,Because the pupils are available.,Pregnancy reduces.
,,
Yes,Because they will help to provide hygiene and sanitation to the pupils,School should open
Yes,To provide good health measures to us,She feels like going back to school
Somewhat,Better be answered by teachers,Let the children go back to school
Somewhat,I don't know,We want children to go back to school
Yes,We have it but we need assistance,We demand for it
Somewhat,I don't know,Yes I want to return to school
No,Because we don't have at home,Am ready to go back to school
Somewhat,To protect myself from infection,Am ready to go back to school if school reopen
,,
Yes,Because all teacher and pupils are in the same area and they can turn up when ever they are inform.,My worry is how teachers can handle pupils since there number is always more then class size.
Yes,Cleaning of school environment to be safe for learning,Encourage all learners to concentrate in learning
No,Because I don't know,Ready to go back to school for learning
Yes,Cleaning of school environment,Real for learning
Somewhat,Follow school rules and regulations,Reading for learning all subjects
Yes,Make sure that the security of the school environment is good,I'm ready for learning this year
Somewhat,Will learn from teachers ,To continue with education 
Somewhat,The teachers knowa that ,Children to continue with education 
Yes,Cleaning of the school environment,Ready for learning
Yes,1.Provide washing facility 2.distribution of face mask 3.social distancing in class 2 meter,To let children learn more
,,
,,
Yes,No Corona,I need to go back to school because I miss one academic year
Yes,Yes no corona,Teachers support learner
Somewhat,I don't know,Let our school to be open
No,"Because no borehole near the school no water in the school for hand washing for covid ,19 protection",Coverage for the whole year lesson
No,I don't know,Corona virus infection fear
No,I don't know,Corona virus infection fear
Yes,Because of infection of CoVID 19.,To study hard only.
Yes,The first thing to be installed,Returning to school will be so great
,,
No,Limited classroom,Nothing
,,
Yes,The school has enough desk and the learners are not many so there is enough space for social distance.,I prefer the schools to reopen next year as a lot has been missed by learners.
,,
Yes,That will be the tusk of teacher and parents,There is luck of enough desk for learners
Yes,Teachers can do that,Girls are getting pregnant at home
Yes,Teachers will help guiding us,Schools should
Yes,The school has few learners and keeping social distance will not be a big problem.,It's a good idea if the schools reopen shortly to see all the learners in school.
,,
,,
,,
Yes,To keep our school environment clean ,I agree
No,Am not sure whether the health personal will provide all the necessary requirements.,My concern is about children are being dropout special girls.
No,Am not sure whether the health personal will provide all the necessary requirements.,My concern is about children are being dropout special girls.
,,
No,Our school is lacking a lot of things,We like to learn
Somewhat,"First of all the school does not have permanent source of water, secondly, the school compound is small to keep social distance,  classes are too populated etc.","Safety, health, and we can easily be infected with Covid19 if all measures are not put in place. Young people do not listed."
Yes,Because we shall be following the rules and regulations in the school.,To study hard only.
Yes,Because of CoVID 19 we shall keep social distancing at school and home.,I shall go to school and study again.
Yes,school closed ,need school to open 
Yes,Avoid ifection,To get more knowlege
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,I don't know
No,I don't know,The year is finished and the time for lessons is small
No,I don't know,I don't know
Somewhat,I'm not sure,It will be good if the school are open
Yes,Because to avoid more infection.,I will happy as was before.
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Somewhat,I don't  know,I need  school toreopen
Somewhat,Not sure,schools must open
Yes,Because of our safety,It will keep us busy with the study
Yes,They have to keep distance,"No, Idea"
Yes,School should have all facilities to prevent covid 19,To attend classes
Yes,To go to school than to stay at home,Its good
No,I don't know,Yes Corona virus fear
Yes,Washing hands distance is important to avoid covid.19 in the school,To learn more things
Yes,More washing facilities,To learn
No,Lack of resources,Schools needs to be reopen as soon as possible to safe some students fr om dropouts especially girls.
Yes,Because administrators know what to do,To protect our girls from early pregnancy
Yes,To protect us from the virus,I needs to go back so that I learn new things
Yes,Because the teachers know what to do to protect,I missed my friends
Yes,There are available resources,To keep our learners
Yes,Because resources are available at school,I needs to return back to my class
Yes,Because we have enough facilities,I needs to return back to my class
Yes,Availability of resources at school,We needs the schools to be reopen so that our children can learn
Yes,Because school administration know what to do,We needs the school to be reopen
Yes,Protective measures are in place,We needs to go back as soon as possible
Yes,Because teacher know what to do,We needs children to go back to the schools
Yes,We have safety measures in place,We needs the schools to be reopen
Yes,We shall take of ourselves,I wants to go back to my school
Yes,To protect us from the virus,I needs to go back to school
Yes,Because our schools have protectives materials in place,I needs to go back
Yes,Keeping distance,No idea
,,
Yes,"Because they will encourage learners put on face masks, wash hands and social distance.",She feels good in order to finish school.
Yes,I was helping my mum at home,I do not fear
,,
,,
Yes,Arrangements of classes and cleaning,Learning some new lessons
Yes,To keep social distancing from one another.,To study hard.
Yes,Because of CoVID 19 infection among people.,Writing and reading.
Yes,Because of the administration,We want to schools to be opened
Yes,To keep me busy,Am waiting for the government to open schools
Yes,Because of the awareness made on keeping the environment clean,School should be open to keep learners busy
Yes,Because of the awareness being made on radio,I want all the children to go back to school
Yes,It is our habits,"Lessons should kick on, instead of radio program"
Yes,It is our moto,We want the schools to be opened
Yes,This is what we usually do,Let the schools be opened
Somewhat,I don't know,Schools should be opened 
No,I don't know whether the school will ,Am ready to go back to school
Yes,It is our moto,We need the government to look into the program of school
Somewhat,I don't know,I Will Make sure all are back to school
Yes,It is our habits,Schools should be opened
No,I don't know,All will be send to school
Yes,Because to protect ourselves from CoVID 19.,Reading only.
Yes,Because we learnt alo from Covid-19,"School should be re-open because, we are staying idiol at home"
Yes,Because we shall keep on washing our hands with water and soap.,Writing.
Yes,Because to keep social distancing from each other.,Reading and writing.
Yes,Because of CoVID 19 infection.,Reading and writing.
Yes,Keep social distancing from each other.,Reading and writing.
Yes, Because it is good to keep social distancing from each other at school and home.,To study hard.
Yes,Because of CoVID 19 social distancing must be kept at school.,To be educated well.
Yes,Because of CoVID 19 social distancing must be observed.,The learners must concentrate on studies only and keep social distancing at school.
Yes,Because of CoVID 19 social distancing from each other.,To study hard and follow school regulations.
Yes,Because of CoVID 19 preventive measures,To study hard and follow school regulations and rules.
Yes,Because of CoVID 19 preventive measures shall be in place.,To study hard and write well.
Yes,Because of preventive measures shall be in place.,To follow school regulations and rules.
Yes,Because of CoVID 19 preventive measures shall in still in place.,To study hard and follow school regulations and rules.
Yes,Because I shall be very thankful.,I will advise my child to do all the works in the school.
Yes,Because of CoVID 19 preventive measures.,I shall tell my children to study hard in school.
No,Hfdggfd,Hfdfsgddc
Yes,Because preventive measures shall still be in place.,To study hard all the subjects.
Yes,Because CoVID 19 shall not be there again.,To study more lessons and subjects.
Yes,Because of our safety for our school and learners to keep social distancing.,To keep school environment clean and smooth running of lessons in the school.
Somewhat,I don't  know,all schools should be open
Yes,This is what we  used to do,"Schools should be opened so that we go back for study, staying at home is bored"
Yes,It is our culture to keep the environment safe,I want to come back
Yes,I like to stay in a safe environment,Am very ready to go back to school
Yes,"As one of the PTA member, I will make sure the school environment is safe for learning",Let the schools reopen
No,I don't know,Let the schools re-open
Yes,This what we used to do at school,I want the schools to be re-opened
No,I don't know,Schools should be opened
Yes,I like safe environment,Let the schools be opened
